,ZIP,severity,Population,People/Sq.Mile,,,,s/p,p/s,s/psm,psm/p
0,60601,17902,"5,591","17,101.15",,,,3.201931676,0.312311474,1.046830184,3.058692542
1,60602,23209,70,810.58,,,,331.5571429,0.003016071,28.63258408,11.57971429
2,60603,3337,378,"4,553.49",,,,8.828042328,0.113275397,0.732844478,12.04626984
3,60604,4421,78,546.75,,,,56.67948718,0.017643067,8.085962506,7.009615385
4,60605,14648,"12,423","6,027.29",,,,1.179103276,0.84810213,2.430279612,0.485171859
5,60606,5103,"1,682","6,140.44",,,,3.033888228,0.329610033,0.831047938,3.650677765
6,60607,11546,"15,552","6,428.11",,,,0.742412551,1.346959986,1.79617337,0.413330118
7,60608,29095,"92,472","14,180.66",,,,0.314635782,3.178278055,2.051738071,0.153350852
8,60609,11344,"79,469","10,286.83",,,,0.142747486,7.005377292,1.102769269,0.129444563
9,60611,3046,"26,522","17,783.87",,,,0.114848051,8.707156927,0.171278805,0.670532765
10,60612,14566,"37,990","10,195.72",,,,0.383416689,2.608128518,1.428638684,0.268379047
11,60614,4798,"65,474","20,838.01",,,,0.073280997,13.64610254,0.230252313,0.318263891
12,60615,15115,"45,096","18,936.31",,,,0.335173851,2.983526298,0.798201973,0.419911079
13,60616,18041,"47,073","13,948.12",,,,0.383255794,2.609223436,1.293435961,0.296308287
14,60618,23267,"98,147","19,640.92",,,,0.237062773,4.218292002,1.184618643,0.200117375
15,60621,13810,"47,514","12,891.83",,,,0.290651176,3.440550326,1.071221076,0.271326977
16,60622,4918,"76,015","17,489.00",,,,0.064697757,15.45648638,0.281205329,0.230073012
17,60624,15692,"45,647","13,574.16",,,,0.343768484,2.908934489,1.156019967,0.297372445
18,60625,10995,"91,351","23,681.91",,,,0.12035993,8.308412915,0.46427843,0.25924084
19,60626,7050,"59,251","34,520.21",,,,0.118985334,8.404397163,0.20422819,0.582609745
20,60628,4049,"87,827","8,286.36",,,,0.046101996,21.69103482,0.488634334,0.094348663
21,60630,4235,"54,781","11,213.53",,,,0.077307826,12.93530106,0.377668763,0.204697432
22,60631,3611,"28,832","7,754.38",,,,0.125242786,7.984491831,0.465672304,0.268950472
23,60633,5223,"13,262","1,102.54",,,,0.393832001,2.539153743,4.737243093,0.083135274
24,60636,6576,"51,451","13,581.48",,,,0.127810927,7.824057178,0.484188763,0.263969213
25,60638,3759,"55,788","5,010.81",,,,0.067380082,14.84118117,0.750178115,0.089818778
26,60639,13604,"92,951","19,854.06",,,,0.146356683,6.832622758,0.685199904,0.213597057
27,60641,18965,"73,824","18,163.14",,,,0.256894777,3.892644345,1.044147653,0.246032997
28,60642,5388,,,,,,#DIV/0!,0,#DIV/0!,#DIV/0!
29,60643,10690,"52,568","7,845.03",,,,0.203355654,4.917492984,1.362646159,0.149235847
30,60644,6644,"59,059","16,705.95",,,,0.112497672,8.889072848,0.397702615,0.282868826
31,60645,6168,"44,197","18,576.05",,,,0.139556984,7.165531777,0.33204045,0.420301152
32,60647,4010,"98,769","25,372.11",,,,0.040599783,24.63067332,0.158047557,0.256883334
33,60651,14526,"77,583","20,738.60",,,,0.187231739,5.340974804,0.700433009,0.26730856
34,60652,4957,"39,126","8,425.81",,,,0.126693247,7.893080492,0.588311391,0.215350662
35,60653,14260,"34,502","15,629.38",,,,0.413309373,2.419495091,0.91238424,0.452999246
36,60655,6437,"29,138","6,541.10",,,,0.22091427,4.526642846,0.984085246,0.224486924
37,60657,13760,"66,789","31,204.02",,,,0.20602195,4.853851744,0.440968824,0.467202983
38,60659,4368,"39,155","19,859.02",,,,0.111556634,8.964056777,0.219950431,0.507189886
39,60660,12880,"47,726","34,193.05",,,,0.269873863,3.705434783,0.376684736,0.716444915
40,60661,4764,"4,382","15,455.28",,,,1.087174806,0.919815281,0.308244173,3.526992241
41,60666,4231,,,,,,#DIV/0!,0,#DIV/0!,#DIV/0!
42,60707,5128,,,,,,#DIV/0!,0,#DIV/0!,#DIV/0!
43,60827,5216,,,,,,#DIV/0!,0,#DIV/0!,#DIV/0!
,,,,,,,,,205.5036829,#DIV/0!,#DIV/0!
